date,temperatureC,weather
2003-01-01,9.179166666666665,Scattered Clouds
2003-01-02,10.070833333333331,Mostly Cloudy
2003-01-03,10.571999999999997,Mostly Cloudy
2003-01-04,11.561538461538463,Scattered Clouds
2003-01-05,11.094871794871796,Fog
2003-01-06,14.10416666666667,Clear
2003-01-07,11.766666666666667,Clear
2003-01-08,10.704166666666664,Mostly Cloudy
2003-01-09,10.974999999999996,Light Rain
2003-01-10,13.570370370370366,Overcast
2003-01-11,12.324000000000002,Mostly Cloudy
2003-01-12,13.866666666666665,Mostly Cloudy
2003-01-13,13.016666666666671,Mostly Cloudy
2003-01-14,12.66969696969697,Overcast
2003-01-15,12.450000000000001,Clear
2003-01-16,11.408333333333331,Clear
2003-01-17,10.9625,Partly Cloudy
2003-01-18,10.363999999999997,Partly Cloudy
2003-01-19,9.374193548387096,Scattered Clouds
2003-01-20,8.847058823529414,Overcast
2003-01-21,11.420454545454543,Overcast
2003-01-22,13.868750000000006,Overcast
2003-01-23,13.667857142857144,Mostly Cloudy
2003-01-24,12.988461538461543,Mostly Cloudy
2003-01-25,13.938461538461537,Mostly Cloudy
2003-01-26,13.56153846153846,Mostly Cloudy
2003-01-27,13.631999999999998,Scattered Clouds
2003-01-28,12.088888888888887,Scattered Clouds
2003-01-29,11.871874999999998,Mostly Cloudy
2003-01-30,12.514814814814816,Scattered Clouds
2003-01-31,12.50689655172414,Scattered Clouds
2003-02-01,12.536666666666667,Overcast
2003-02-02,11.437499999999998,Clear
2003-02-03,11.179166666666667,Clear
2003-02-04,11.691666666666668,Clear
2003-02-05,11.766666666666666,Clear
2003-02-06,9.745833333333334,Clear
2003-02-07,11.06666666666667,Clear
2003-02-08,8.629166666666666,Clear
2003-02-09,8.854166666666668,Clear
2003-02-10,10.295833333333334,Overcast
2003-02-11,11.166666666666666,Overcast
2003-02-12,11.028124999999996,Light Rain
2003-02-13,12.697142857142856,Mostly Cloudy
2003-02-14,12.325925925925926,Overcast
2003-02-15,12.238709677419354,Mostly Cloudy
2003-02-16,11.455555555555557,Partly Cloudy
2003-02-17,10.495833333333332,Mostly Cloudy
2003-02-18,10.966666666666667,Clear
2003-02-19,10.782142857142858,Mostly Cloudy
2003-02-20,11.42608695652174,Clear
2003-02-21,11.815999999999999,Scattered Clouds
2003-02-22,12.120000000000003,Partly Cloudy
2003-02-23,11.836000000000002,Scattered Clouds
2003-02-24,-358.45185185185187,Overcast
2003-02-25,11.584000000000003,Partly Cloudy
2003-02-26,10.951999999999996,Overcast
2003-02-27,10.26296296296296,Partly Cloudy
2003-02-28,10.457692307692309,Mostly Cloudy
2003-03-01,12.008000000000003,Partly Cloudy
2003-03-02,11.137500000000001,Partly Cloudy
2003-03-03,10.996296296296295,Scattered Clouds
2003-03-04,10.070833333333335,Partly Cloudy
2003-03-05,10.937499999999998,Clear
2003-03-06,11.2,Partly Cloudy
2003-03-07,11.600000000000001,Clear
2003-03-08,11.591666666666667,Scattered Clouds
2003-03-09,11.876,Partly Cloudy
2003-03-10,12.7,Mostly Cloudy
2003-03-11,12.9,Overcast
2003-03-12,13.738709677419354,Overcast
2003-03-13,14.096551724137926,Mostly Cloudy
2003-03-14,15.450000000000003,Light Rain
2003-03-15,13.35,Partly Cloudy
2003-03-16,11.784374999999999,Partly Cloudy
2003-03-17,12.183333333333335,Partly Cloudy
2003-03-18,11.970833333333333,Clear
2003-03-19,12.610714285714284,Mostly Cloudy
2003-03-20,12.695833333333335,Scattered Clouds
2003-03-21,12.591999999999999,Partly Cloudy
2003-03-22,12.932142857142859,Mostly Cloudy
2003-03-23,12.089285714285719,Light Rain
2003-03-24,11.75,Partly Cloudy
2003-03-25,13.264,Mostly Cloudy
2003-03-26,13.89117647058824,Overcast
2003-03-27,12.587999999999997,Partly Cloudy
2003-03-28,17.370833333333337,Clear
2003-03-29,16.531999999999996,Clear
2003-03-30,16.524,Scattered Clouds
2003-03-31,13.596153846153841,Mostly Cloudy
2003-04-01,11.75769230769231,Mostly Cloudy
2003-04-02,9.581481481481482,Mostly Cloudy
2003-04-03,10.137500000000001,Scattered Clouds
2003-04-04,10.5,Scattered Clouds
2003-04-05,10.200000000000001,Scattered Clouds
2003-04-06,11.850000000000003,Scattered Clouds
2003-04-07,12.666666666666666,Partly Cloudy
2003-04-08,13.748000000000001,Clear
2003-04-09,14.03333333333333,Partly Cloudy
2003-04-10,13.943999999999996,Partly Cloudy
2003-04-11,12.559999999999997,Partly Cloudy
2003-04-12,11.985714285714284,Light Rain
2003-04-13,11.564,Mostly Cloudy
2003-04-14,10.53571428571429,Mostly Cloudy
2003-04-15,12.04,Mostly Cloudy
2003-04-16,12.26,Mostly Cloudy
2003-04-17,12.271428571428574,Mostly Cloudy
2003-04-18,12.281818181818181,Clear
2003-04-19,12.729166666666671,Scattered Clouds
2003-04-20,12.296666666666663,Mostly Cloudy
2003-04-21,10.92,Mostly Cloudy
2003-04-22,11.433333333333335,Scattered Clouds
2003-04-23,12.692307692307695,Mostly Cloudy
2003-04-24,11.765517241379314,Light Rain
2003-04-25,11.837037037037037,Mostly Cloudy
2003-04-26,11.850000000000001,Scattered Clouds
2003-04-27,12.273076923076921,Partly Cloudy
2003-04-28,12.103846153846153,Mostly Cloudy
2003-04-29,12.124000000000006,Mostly Cloudy
2003-04-30,12.520833333333334,Scattered Clouds
2003-05-01,14.583999999999998,Mostly Cloudy
2003-05-02,14.296666666666662,Light Rain
2003-05-03,14.554999999999998,Mostly Cloudy
2003-05-04,13.373076923076923,Overcast
2003-05-05,12.766666666666666,Scattered Clouds
2003-05-06,12.638461538461538,Mostly Cloudy
2003-05-07,12.823999999999998,Scattered Clouds
2003-05-08,11.7125,Mostly Cloudy
2003-05-09,11.966666666666669,Partly Cloudy
2003-05-10,12.720833333333331,Partly Cloudy
2003-05-11,12.949999999999996,Scattered Clouds
2003-05-12,13.7,Scattered Clouds
2003-05-13,13.716666666666661,Scattered Clouds
2003-05-14,12.811111111111112,Overcast
2003-05-15,12.948000000000002,Mostly Cloudy
2003-05-16,12.645833333333334,Mostly Cloudy
2003-05-17,13.143999999999997,Clear
2003-05-18,14.816666666666665,Clear
2003-05-19,17.333333333333332,Clear
2003-05-20,16.875,Clear
2003-05-21,14.650000000000004,Clear
2003-05-22,13.299999999999999,Partly Cloudy
2003-05-23,14.283999999999999,Partly Cloudy
2003-05-24,13.175862068965516,Mostly Cloudy
2003-05-25,15.933333333333335,Mostly Cloudy
2003-05-26,14.77777777777778,Mostly Cloudy
2003-05-27,17.616666666666664,Clear
2003-05-28,18.09090909090909,Scattered Clouds
2003-05-29,14.960714285714285,Mostly Cloudy
2003-05-30,13.767999999999999,Overcast
2003-05-31,13.385714285714284,Clear
2003-06-01,15.671999999999999,Clear
2003-06-02,17.270833333333332,Clear
2003-06-03,16.788000000000004,Clear
2003-06-04,16.232,Partly Cloudy
2003-06-05,16.11923076923077,Partly Cloudy
2003-06-06,16.066666666666666,Scattered Clouds
2003-06-07,15.078260869565213,Mostly Cloudy
2003-06-08,13.757142857142856,Mostly Cloudy
2003-06-09,15.448,Mostly Cloudy
2003-06-10,14.792307692307695,Partly Cloudy
2003-06-11,12.970370370370377,Overcast
2003-06-12,13.204000000000006,Overcast
2003-06-13,15.044444444444444,Overcast
2003-06-14,14.715384615384615,Partly Cloudy
2003-06-15,15.440000000000003,Clear
2003-06-16,15.879166666666665,Clear
2003-06-17,13.920689655172415,Overcast
2003-06-18,13.686666666666667,Scattered Clouds
2003-06-19,13.607999999999999,Partly Cloudy
2003-06-20,14.053846153846155,Partly Cloudy
2003-06-21,14.048,Clear
2003-06-22,14.064000000000004,Scattered Clouds
2003-06-23,13.819999999999999,Mostly Cloudy
2003-06-24,17.966666666666665,Clear
2003-06-25,22.841666666666665,Clear
2003-06-26,25.508333333333336,Clear
2003-06-27,24.15416666666667,Clear
2003-06-28,18.456000000000003,Clear
2003-06-29,15.671428571428573,Partly Cloudy
2003-06-30,16.788,Overcast
2003-07-01,15.83846153846154,Partly Cloudy
2003-07-02,14.674999999999999,Clear
2003-07-03,14.363999999999999,Partly Cloudy
2003-07-04,15.533333333333337,Partly Cloudy
2003-07-05,14.227999999999994,Scattered Clouds
2003-07-06,13.133333333333336,Mostly Cloudy
2003-07-07,13.951724137931034,Overcast
2003-07-08,14.99642857142857,Partly Cloudy
2003-07-09,15.187500000000002,Clear
2003-07-10,14.759259259259258,Partly Cloudy
2003-07-11,15.188888888888888,Partly Cloudy
2003-07-12,16.946153846153848,Partly Cloudy
2003-07-13,16.923076923076927,Clear
2003-07-14,18.188000000000002,Clear
2003-07-15,15.979166666666666,Partly Cloudy
2003-07-16,16.50833333333333,Clear
